name,type,value,date
建国门分社,建国门分社,542126.06,2018-05-31
宣武门外营业部,宣武门外营业部,535371.60,2018-05-31
宣武营业部,宣武营业部,519672.78,2018-05-31
花市营业部,花市营业部,1526065.84,2018-06-01
劲松营业部,劲松营业部,989941.93,2018-06-01
营销中心大客户部,营销中心大客户部,805262.82,2018-06-01
西城第一门市部,西城第一门市部,769486.59,2018-06-01
阜外营业部,阜外营业部,733920.42,2018-06-01
宣武门外营业部,宣武门外营业部,733004.62,2018-06-01
东城第一门市部,东城第一门市部,651850.42,2018-06-01
宣武营业部,宣武营业部,575270.80,2018-06-01
公主坟第一门市,公主坟第一门市,573344.48,2018-06-01
建国门分社,建国门分社,555689.06,2018-06-01
花市营业部,花市营业部,1743202.54,2018-06-02
劲松营业部,劲松营业部,1003276.99,2018-06-02
综合三部,综合三部,982839.85,2018-06-02
营销中心大客户部,营销中心大客户部,805262.82,2018-06-02
西城第一门市部,西城第一门市部,769486.59,2018-06-02
宣武门外营业部,宣武门外营业部,750585.02,2018-06-02
阜外营业部,阜外营业部,733920.42,2018-06-02
宣武营业部,宣武营业部,730106.80,2018-06-02
东城第一门市部,东城第一门市部,675644.42,2018-06-02
公主坟第一门市,公主坟第一门市,594233.48,2018-06-02
综合三部,综合三部,1790360.00,2018-06-03
花市营业部,花市营业部,1789188.96,2018-06-03
劲松营业部,劲松营业部,1128937.05,2018-06-03
营销中心大客户部,营销中心大客户部,843134.82,2018-06-03
宣武门外营业部,宣武门外营业部,775728.02,2018-06-03
西城第一门市部,西城第一门市部,769486.59,2018-06-03
宣武营业部,宣武营业部,745986.40,2018-06-03
阜外营业部,阜外营业部,742218.42,2018-06-03
东城第一门市部,东城第一门市部,675644.42,2018-06-03
公主坟第一门市,公主坟第一门市,610069.52,2018-06-03
花市营业部,花市营业部,1813519.20,2018-06-04
综合三部,综合三部,1790360.00,2018-06-04
劲松营业部,劲松营业部,1128937.05,2018-06-04
营销中心大客户部,营销中心大客户部,843134.82,2018-06-04
西城第一门市部,西城第一门市部,798790.59,2018-06-04
宣武营业部,宣武营业部,784002.40,2018-06-04
宣武门外营业部,宣武门外营业部,775728.02,2018-06-04
阜外营业部,阜外营业部,767839.62,2018-06-04
东城第一门市部,东城第一门市部,693068.42,2018-06-04
公主坟第一门市,公主坟第一门市,622840.52,2018-06-04
花市营业部,花市营业部,1842158.20,2018-06-05
综合三部,综合三部,1790360.00,2018-06-05
劲松营业部,劲松营业部,1150119.09,2018-06-05
安贞营业部,安贞营业部,905765.80,2018-06-05
营销中心大客户部,营销中心大客户部,900156.66,2018-06-05
宣武门外营业部,宣武门外营业部,841829.02,2018-06-05
西城第一门市部,西城第一门市部,798790.59,2018-06-05
宣武营业部,宣武营业部,786556.60,2018-06-05
阜外营业部,阜外营业部,767839.62,2018-06-05
东城第一门市部,东城第一门市部,698513.42,2018-06-05
花市营业部,花市营业部,1932091.73,2018-06-06
综合三部,综合三部,1790360.00,2018-06-06
劲松营业部,劲松营业部,1184093.91,2018-06-06
安贞营业部,安贞营业部,905765.80,2018-06-06
营销中心大客户部,营销中心大客户部,900156.66,2018-06-06
宣武门外营业部,宣武门外营业部,841829.02,2018-06-06
宣武营业部,宣武营业部,806733.60,2018-06-06
西城第一门市部,西城第一门市部,798790.59,2018-06-06
阜外营业部,阜外营业部,781414.63,2018-06-06
东城第一门市部,东城第一门市部,727817.42,2018-06-06
花市营业部,花市营业部,1992279.75,2018-06-07
综合三部,综合三部,1790360.00,2018-06-07
劲松营业部,劲松营业部,1284477.93,2018-06-07
营销中心大客户部,营销中心大客户部,921144.66,2018-06-07
安贞营业部,安贞营业部,905765.80,2018-06-07
宣武门外营业部,宣武门外营业部,853748.62,2018-06-07
宣武营业部,宣武营业部,806733.60,2018-06-07
西城第一门市部,西城第一门市部,798790.59,2018-06-07
公主坟第一门市,公主坟第一门市,792383.78,2018-06-07
阜外营业部,阜外营业部,781414.63,2018-06-07
花市营业部,花市营业部,2022670.77,2018-06-08
综合三部,综合三部,1790360.00,2018-06-08
劲松营业部,劲松营业部,1302436.53,2018-06-08
宣武门外营业部,宣武门外营业部,1027421.62,2018-06-08
营销中心大客户部,营销中心大客户部,921144.66,2018-06-08
安贞营业部,安贞营业部,910713.80,2018-06-08
宣武营业部,宣武营业部,836944.44,2018-06-08
西城第一门市部,西城第一门市部,827544.19,2018-06-08
公主坟第一门市,公主坟第一门市,812381.78,2018-06-08
阜外营业部,阜外营业部,802204.63,2018-06-08
花市营业部,花市营业部,2103514.17,2018-06-09
综合三部,综合三部,1790360.00,2018-06-09
劲松营业部,劲松营业部,1319262.57,2018-06-09
宣武门外营业部,宣武门外营业部,1027991.86,2018-06-09
营销中心大客户部,营销中心大客户部,930441.06,2018-06-09
安贞营业部,安贞营业部,922473.80,2018-06-09
宣武营业部,宣武营业部,855655.44,2018-06-09
西城第一门市部,西城第一门市部,854274.19,2018-06-09
阜外营业部,阜外营业部,849130.63,2018-06-09
公主坟第一门市,公主坟第一门市,821846.18,2018-06-09
花市营业部,花市营业部,2159944.17,2018-06-10
综合三部,综合三部,1812536.00,2018-06-10
劲松营业部,劲松营业部,1381738.39,2018-06-10
宣武门外营业部,宣武门外营业部,1037457.86,2018-06-10
营销中心大客户部,营销中心大客户部,998885.19,2018-06-10
安贞营业部,安贞营业部,922473.80,2018-06-10
阜外营业部,阜外营业部,908716.63,2018-06-10
西城第一门市部,西城第一门市部,897537.19,2018-06-10
宣武营业部,宣武营业部,867462.14,2018-06-10
公主坟第一门市,公主坟第一门市,828281.18,2018-06-10
花市营业部,花市营业部,2159944.17,2018-06-11
综合三部,综合三部,1812536.00,2018-06-11
劲松营业部,劲松营业部,1472897.59,2018-06-11
营销中心大客户部,营销中心大客户部,1047890.19,2018-06-11
宣武门外营业部,宣武门外营业部,1037457.86,2018-06-11
阜外营业部,阜外营业部,957818.65,2018-06-11
安贞营业部,安贞营业部,922473.80,2018-06-11
西城第一门市部,西城第一门市部,897537.19,2018-06-11
宣武营业部,宣武营业部,891216.14,2018-06-11
公主坟第一门市,公主坟第一门市,833625.98,2018-06-11
花市营业部,花市营业部,2186381.13,2018-06-12
综合三部,综合三部,1812536.00,2018-06-12
劲松营业部,劲松营业部,1493418.61,2018-06-12
营销中心大客户部,营销中心大客户部,1049189.19,2018-06-12
宣武门外营业部,宣武门外营业部,1037457.86,2018-06-12
阜外营业部,阜外营业部,1030246.67,2018-06-12
宣武营业部,宣武营业部,974575.14,2018-06-12
西城第一门市部,西城第一门市部,956665.63,2018-06-12
安贞营业部,安贞营业部,922473.80,2018-06-12
中关村大街第一营业部,中关村大街第一营业部,878921.20,2018-06-12
花市营业部,花市营业部,2204161.53,2018-06-13
综合三部,综合三部,1812536.00,2018-06-13
劲松营业部,劲松营业部,1538747.85,2018-06-13
宣武营业部,宣武营业部,1069179.14,2018-06-13
营销中心大客户部,营销中心大客户部,1055919.21,2018-06-13
宣武门外营业部,宣武门外营业部,1049238.86,2018-06-13
阜外营业部,阜外营业部,1037174.69,2018-06-13
东城第一门市部,东城第一门市部,1002744.63,2018-06-13
西城第一门市部,西城第一门市部,963259.03,2018-06-13
安贞营业部,安贞营业部,955143.80,2018-06-13
花市营业部,花市营业部,2262967.53,2018-06-14
综合三部,综合三部,1812536.00,2018-06-14
劲松营业部,劲松营业部,1568547.93,2018-06-14
宣武营业部,宣武营业部,1242823.34,2018-06-14
营销中心大客户部,营销中心大客户部,1162294.51,2018-06-14
宣武门外营业部,宣武门外营业部,1052367.26,2018-06-14
